2.06	0.00	4.13
2.04	0.87	3.87
1.90	31.35	3.77
10.08	56.66	3.08
6.11	10.44	2.97
4.61	25.55	3.43
3.63	1.26	3.63
3.25	1.50	3.49
3.05	0.68	3.42
2.72	0.20	3.07
2.47	0.91	3.44
1.97	0.00	3.54
2.11	0.00	3.90
1.97	0.00	3.85
1.91	0.00	3.60
2.00	4.58	3.58
1.97	8.82	3.73
1.84	3.05	3.73
2.11	4.99	3.54
1.81	5.13	3.67
1.79	5.67	3.66
1.70	0.00	3.74
1.65	0.00	3.30
1.54	0.00	3.81
1.26	0.00	4.04
1.26	0.00	3.83
1.05	0.00	3.72
1.03	0.00	3.78
0.93	0.00	3.76
0.94	0.00	3.93
0.92	0.00	3.92
0.84	0.00	3.90
1.02	0.00	3.95
0.90	0.00	3.88
0.82	0.00	3.72
0.86	0.00	3.70
0.84	0.00	3.62
0.81	0.00	3.81
0.95	0.00	4.14
0.82	0.00	4.38
0.78	0.00	4.29
0.76	0.00	4.21
0.76	0.00	4.28
0.74	0.00	4.19
0.77	0.00	4.01
0.74	0.00	4.15
0.71	0.00	4.24
0.71	0.00	4.17
0.74	0.00	4.15
0.74	0.00	4.28
0.73	0.00	4.16
0.68	0.00	4.18
0.73	0.00	4.22
0.61	0.00	4.20
0.76	0.00	4.38
0.76	0.00	4.46
0.68	0.00	4.40
0.69	0.00	4.34
0.70	0.00	4.35
0.64	0.00	4.22
0.58	0.00	4.31
0.62	0.00	4.28
0.71	0.00	4.33
0.67	0.00	4.23
0.56	0.00	4.29
0.52	0.00	4.33
0.52	0.00	4.27
0.51	0.00	4.26
0.54	0.00	4.15
0.49	0.00	4.22
0.44	0.00	4.25
0.43	0.00	4.26
0.47	0.00	4.21
0.46	0.00	4.42
0.48	0.00	4.23
0.40	0.00	4.23
0.37	0.00	4.67
0.37	0.00	4.57
0.37	0.00	4.47
0.44	0.00	4.37
0.37	0.00	4.10
0.51	0.00	4.16
0.52	0.00	4.45
0.37	0.00	4.45
0.37	0.00	4.36
0.39	0.00	4.31
0.41	0.00	4.31
0.43	0.00	4.56
0.44	0.00	4.32
0.58	0.00	4.38
0.39	0.00	4.52
0.43	0.00	4.36
0.37	1.14	4.48
0.33	0.00	4.25
0.30	0.00	3.76
1.22	17.37	4.08
1.14	0.00	4.11
1.17	0.00	4.36
0.79	0.00	4.33
0.35	0.00	4.67
0.37	0.00	4.61
0.37	0.00	4.56
0.39	0.00	4.58
0.37	0.00	4.46
0.38	0.00	4.71
0.37	0.00	4.51
0.33	0.00	4.35
0.34	0.92	4.42
0.35	0.09	4.92
0.35	0.00	4.53
0.38	0.00	4.27
0.37	0.00	4.32
0.35	0.00	4.73
0.35	0.00	4.66
0.35	0.00	4.81
0.33	0.00	4.81
0.31	0.00	4.70
0.28	0.00	4.74
0.29	0.00	4.72
0.26	0.00	4.83
0.23	0.38	4.70
0.26	0.00	4.70
0.24	0.00	4.63
0.24	0.00	4.44
0.26	0.47	4.54
0.26	2.52	4.70
0.26	0.00	4.71
0.24	0.00	4.66
0.30	0.00	4.86
0.31	0.00	4.51
0.22	0.00	4.66
0.28	1.51	4.42
0.35	8.76	4.79
0.38	0.42	4.80
0.35	0.00	4.75
0.37	0.00	4.98
0.36	0.00	4.97
0.31	0.00	5.05
0.32	0.00	4.99
0.31	2.93	5.19
0.37	2.21	5.20
0.40	0.00	5.20
0.35	1.96	5.14
0.32	0.00	4.70
0.68	0.76	4.82
2.00	2.67	4.72
2.06	0.52	4.70
1.81	3.32	4.93
0.52	0.00	4.81
0.37	0.00	4.93
0.36	0.00	5.00
0.33	1.15	5.23
0.33	2.06	4.94
0.33	11.24	4.91
0.33	0.00	5.06
0.30	0.00	4.85
0.28	14.44	4.79
0.30	9.97	5.16
0.34	3.40	4.89
0.37	1.51	4.26
0.43	3.67	4.60
0.88	0.00	4.71
0.82	0.00	4.66
0.57	2.70	4.85
0.37	1.79	4.48
0.35	0.07	4.93
1.77	1.89	4.77
2.44	4.98	4.89
2.21	4.92	5.04
3.13	27.96	4.53
3.50	13.29	4.47
3.57	6.82	4.38
2.72	8.02	4.47
2.97	1.38	4.55
3.04	7.07	4.20
1.26	4.73	4.74
1.18	4.20	4.56
1.35	7.96	4.73
1.29	2.47	4.89
1.15	11.65	4.55
1.13	0.40	4.43
1.54	8.10	4.58
3.22	3.51	4.38
1.31	0.47	4.71
1.25	13.48	4.76
1.39	12.37	4.67
1.15	6.71	4.74
1.37	3.24	4.43
1.24	0.42	4.70
2.14	0.23	4.91
2.19	3.96	4.69
1.28	5.71	4.49
2.27	4.80	4.63
1.36	7.15	4.57
1.84	7.29	4.44
1.21	15.62	4.01
1.13	0.00	4.31
